country,week_number,number_of_invoices,total_quantity,invoice_values
Germany,2,20,1993,8952.6
Italy,40,5,460,793.75
Netherlands,33,12,639,539.06
Spain,36,4,327,921.04
France,34,17,1949,3869.9
Italy,15,12,704,2764.38
Germany,50,14,1164,4333.84
Italy,47,12,619,2299.17
Netherlands,52,5,295,560.3
France,36,17,120,576.86
Netherlands,52,14,150,202.32
France,27,18,523,1524.91
Italy,25,2,1187,883.12
Netherlands,9,16,1270,4692.89
France,7,14,899,3877.5
Portugal,46,13,308,877.12
Portugal,26,11,1682,7439.48
Portugal,44,7,87,97.45
Italy,31,19,634,1476.66
Italy,42,6,1671,6072.76
Italy,40,16,721,467.27
Netherlands,16,5,1058,756.75
Germany,36,17,1895,7072.87
Spain,26,1,1405,2109.94
France,30,3,1784,2716.07
Germany,29,3,1032,2386.05
Italy,39,16,1300,1746.63
Spain,45,9,1077,4073.64
Italy,34,15,938,3156.78
Italy,51,10,344,463.73
Netherlands,32,10,979,2197.94
Portugal,39,5,1882,4947.55
Spain,18,9,182,371.71
France,25,7,71,238.38
Spain,24,4,1162,1366.91
Spain,20,7,595,2570.23
Italy,6,6,653,842.58
Portugal,52,10,174,550.83
Spain,7,3,1554,7061.07
Germany,24,20,1588,7794.57
Germany,25,18,1378,6883.5
Italy,52,12,230,639.79
Germany,26,17,225,308.29
Netherlands,44,11,863,635.06
Netherlands,15,17,248,834.63
Germany,29,15,207,289.08
Germany,36,7,867,3703.72
France,18,16,780,716.96
Spain,4,13,331,1526.11
Germany,33,8,1461,2425.67
