country,week_number,number_of_invoices,total_quantity,invoice_values
Netherlands,26,13,1105,1695.64
Spain,47,17,924,3397.66
Germany,33,9,46,229.47
Netherlands,25,11,1757,4860.96
Netherlands,21,13,1839,6876.25
Netherlands,32,19,1901,8904.02
Germany,46,16,593,2640.83
Italy,45,18,210,573.79
Italy,31,5,1563,6288.28
Germany,49,16,1198,5146.31
Spain,51,13,351,879.67
Portugal,18,20,1790,2282.3
Netherlands,46,7,1420,4138.63
Portugal,14,7,655,721.37
Italy,52,14,1859,2106.59
Spain,25,1,1408,2339.37
Netherlands,3,18,329,1239.49
France,45,13,107,55.98
Italy,7,13,1026,4960.6
Italy,45,12,1167,3970.75
Germany,22,18,1171,2771.52
Spain,27,18,755,2512.66
Spain,36,1,1757,4958.55
Germany,10,6,1592,3283.97
Germany,15,18,1931,1014.62
Italy,24,9,1539,5970.64
Portugal,15,12,1882,5764.35
Italy,7,5,1088,1063.36
Germany,32,18,1057,1565.11
Netherlands,28,12,129,156.78
Spain,26,5,1974,1023.7
Germany,14,14,1593,1697.66
Spain,6,19,1779,6042.43
Portugal,43,5,1546,7302.37
Germany,38,11,1347,6047.97
Portugal,4,3,1324,6114.42
Netherlands,43,2,825,640.22
France,17,2,179,468.48
Portugal,43,14,256,329.84
Spain,45,11,787,1489.99
Germany,14,12,114,230.63
Germany,18,7,315,899.7
Netherlands,40,15,443,1129.03
France,24,3,1399,4738.12
Spain,37,4,1617,6525.44
France,26,7,1652,5358.37
France,3,17,1424,6539.15
Germany,30,13,529,325.81
Italy,51,2,232,1075.64
France,42,1,428,1558.82
